"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NPNT"	2.18131262463861	5.84258048764436	14.2310614952763	6.30095721508597e-38	1.25413518316969e-35	75.2969656561655
"FBXO36"	1.29990792489919	2.34571405711635	14.2027147652694	8.29879860531604e-38	1.63590067507292e-35	75.1195566599108
"CCDC48"	2.23358904777058	0.746045822586281	14.1998988350134	8.52888855500126e-38	1.66524518348648e-35	75.0122566435335
"DNAH7"	2.10537992117933	0.00108679031268677	14.1987948851241	8.62081897421942e-38	1.66731518670257e-35	74.9574407715444
"FBP1"	2.09063790168467	4.84938487572207	14.1847316156405	9.88215072870645e-38	1.89340160831038e-35	74.8978111802183
"C14orf174"	1.75269295571933	0.307649666517537	14.0908910293018	2.45488623213741e-37	4.65996505972677e-35	73.9363050735252
"MCCC2"	1.26651866526141	6.86263133525438	14.0823909078413	2.66551252020349e-37	5.01336441987997e-35	73.8283592188583
"IQCH"	1.30172249344744	0.875086682906364	14.0753606082707	2.85326782861431e-37	5.31771306858382e-35	73.8148843747608
"BCL11A"	-2.60277306027797	3.11047325738203	-14.0527507345335	3.5512329650984e-37	6.5003416979895e-35	73.6893974195719
"VAV3"	1.97352437246174	6.16747546971344	14.0621710542574	3.24182216652794e-37	5.98744110234138e-35	73.6547272294665
"BBS4"	0.92772881797599	3.98080092432352	14.0440183858816	3.86428653262316e-37	6.94927528116732e-35	73.5823876565909
"PRKX"	-1.34782021295382	5.45364193115786	-14.0441509994951	3.8593324283803e-37	6.94927528116732e-35	73.5180764459813
"INPP5J"	2.26205791160406	3.2472797648245	13.9908948967262	6.45798442490137e-37	1.13158238200772e-34	73.0997610509369
"C16orf71"	1.57071846786442	-0.0958511979921527	14.0008359276136	5.86658030450387e-37	1.04583272019682e-34	73.0544323550017
"ELOVL5"	1.37164790775519	7.69177542037416	13.992313180497	6.37010540219616e-37	1.12580630043469e-34	72.951601212139
"CDCA7"	-2.33674258080302	3.31743549037668	-13.9722660539685	7.7309601724432e-37	1.34315605504456e-34	72.9232766512711
"AKR7A3"	3.33857530521909	1.89021894278644	13.9694301842779	7.94556561243051e-37	1.36884067748267e-34	72.8791744436811
"REEP6"	2.85870365474196	4.0343008063535	13.9611880406561	8.60361178077463e-37	1.44575938621033e-34	72.7982754476859
"TRIM3"	1.17622651751356	3.85083641203914	13.958372913997	8.8406009590183e-37	1.47350536797426e-34	72.7682133124002
"C20orf26"	2.0853928912864	-1.85663603050968	13.9646469631182	8.32108283667176e-37	1.40983900193891e-34	72.7607961451103
"SFRS13B"	-2.13925309043918	0.573922646457474	-13.9662723730071	8.19153195434219e-37	1.39945497163308e-34	72.7493841709163
"P4HTM"	1.23520855737536	4.51518691860294	13.9456756747057	9.99304064195138e-37	1.65215585645682e-34	72.6101917335663
"ANKRA2"	0.877423090870915	3.45841910031415	13.8968451492089	1.60024716739955e-36	2.62453337430866e-34	72.1953783667814
"ART3"	-4.0118963405832	-0.465348332592309	-13.8818260578678	1.84939556132829e-36	3.00908400022153e-34	72.0234159264741
"RND1"	2.17751192097471	2.68655609260082	13.8774143559379	1.92967615166136e-36	3.11498352639445e-34	72.0174330615756
"GPD1L"	1.36222959544985	5.70811963649932	13.8578662181886	2.3293253881579e-36	3.73074217051759e-34	71.7063665425009
"HORMAD1"	-4.29712146795467	-1.18211347787071	-13.8258103220162	3.17093601233751e-36	5.03933016968459e-34	71.5028697244359
"GABBR2"	-3.57798099074767	-1.07684421546541	-13.8159740991242	3.48552736572957e-36	5.49667665575553e-34	71.3923736277943
